On Demand Downloads Download Date,On Demand Downloads Total Downloads
2019-02-19,150972
2019-02-18,160203
2019-02-17,150747
2019-02-16,137127
2019-02-15,150908
2019-02-14,163957
2019-02-13,181005
2019-02-12,201093
2019-02-11,242706
2019-02-10,258185
2019-02-09,309489
2019-02-08,877075
2019-02-07,141539
2019-02-06,143463
2019-02-05,146884
2019-02-04,154008
2019-02-03,141986
2019-02-02,132115
2019-02-01,149666
2019-01-31,143940
2019-01-30,172141
2019-01-29,183535
2019-01-28,202906
2019-01-27,201941
2019-01-26,192060
2019-01-25,226159
2019-01-24,332425
2019-01-23,886818
2019-01-22,181198
2019-01-21,195654
2019-01-20,185193
2019-01-19,184341
2019-01-18,233974
2019-01-17,363335
2019-01-16,928004
2019-01-15,141751
2019-01-14,150382
2019-01-13,136443
2019-01-12,121693
2019-01-11,141683
2019-01-10,158666
2019-01-09,170905
2019-01-08,178433
2019-01-07,194052
2019-01-06,178030
2019-01-05,168802
2019-01-04,204945
2019-01-03,235687
2019-01-02,277397
2019-01-01,223668
2018-12-31,266651
2018-12-30,345868
2018-12-29,606730
2018-12-28,875220
2018-12-27,480630
2018-12-26,195183
2018-12-25,160639
2018-12-24,182516
2018-12-23,239602
2018-12-22,362299
2018-12-21,800720
2018-12-20,125151
2018-12-19,132302
2018-12-18,132140
2018-12-17,136056
2018-12-16,125236
2018-12-15,110992
2018-12-14,121808
2018-12-13,129701
2018-12-12,133080
2018-12-11,140083
2018-12-10,144964
2018-12-09,132661
2018-12-08,125250
2018-12-07,138396
2018-12-06,162023
2018-12-05,170685
2018-12-04,180019
2018-12-03,183235
2018-12-02,176312
2018-12-01,171027
2018-11-30,213914
2018-11-29,296904
2018-11-28,666450
2018-11-27,483468
2018-11-26,326794
2018-11-25,289201
2018-11-24,246346
2018-11-23,312430
2018-11-22,754359
2018-11-21,160072
2018-11-20,160056
2018-11-19,162813
2018-11-18,156068
2018-11-17,141336
2018-11-16,160379
2018-11-15,176042
2018-11-14,188741
2018-11-13,198739
2018-11-12,205561
2018-11-11,191687
2018-11-10,178900
2018-11-09,190086
2018-11-08,236729
2018-11-07,287594
2018-11-06,375477
2018-11-05,937874
2018-11-04,236816
2018-11-03,214852
2018-11-02,260876
2018-11-01,327979
2018-10-31,603325
2018-10-30,593124
2018-10-29,265628
2018-10-28,263658
2018-10-27,295166
2018-10-26,779435
2018-10-25,291940
2018-10-24,217999
2018-10-23,239493
2018-10-22,280618
2018-10-21,278772
2018-10-20,318635
2018-10-19,880286
2018-10-18,263211
2018-10-17,300470
2018-10-16,232320
2018-10-15,264881
2018-10-14,271748
2018-10-13,301609
2018-10-12,703347
2018-10-11,501502
2018-10-10,202546
2018-10-09,217215
2018-10-08,221746
2018-10-07,210311
2018-10-06,206318
2018-10-05,267456
2018-10-04,292086
2018-10-03,250268
2018-10-02,272129
2018-10-01,318586
2018-09-30,330114
2018-09-29,391748
2018-09-28,878010
2018-09-27,224886
2018-09-26,255373
2018-09-25,287799
2018-09-24,328423
2018-09-23,332752
2018-09-22,382856
2018-09-21,890956
2018-09-20,444711
2018-09-19,955473
2018-09-18,199910
2018-09-17,167649
2018-09-16,144312
2018-09-15,125617
2018-09-14,142496
2018-09-13,149612
2018-09-12,157289
2018-09-11,157197
2018-09-10,162292
2018-09-09,150373
2018-09-08,134182
2018-09-07,152855
2018-09-06,174016
2018-09-05,183411
2018-09-04,200486
2018-09-03,199999
2018-09-02,178288
2018-09-01,186057
2018-08-31,246208
2018-08-30,345937
2018-08-29,880376
2018-08-28,188885
2018-08-27,235960
2018-08-26,195291
2018-08-25,178317
2018-08-24,193666
2018-08-23,194568
2018-08-22,204640
2018-08-21,227283
2018-08-20,276865
2018-08-19,276589
2018-08-18,320187
2018-08-17,754568
2018-08-16,157818
2018-08-15,163090
2018-08-14,162174
2018-08-13,175067
2018-08-12,161613
2018-08-11,144399
2018-08-10,163609
2018-08-09,178511
2018-08-08,182318
2018-08-07,188950
2018-08-06,198543
2018-08-05,187725
2018-08-04,172169
2018-08-03,204441
2018-08-02,227891
2018-08-01,257103
2018-07-31,295910
2018-07-30,401559
2018-07-29,399037
2018-07-28,644184
2018-07-27,997404
2018-07-26,223397
2018-07-25,256851
2018-07-24,320398
2018-07-23,551398
2018-07-22,1229566
2018-07-21,135035
2018-07-20,157805
2018-07-19,187529
2018-07-18,216787
2018-07-17,146301
2018-07-16,145969
2018-07-15,134203
2018-07-14,126235
2018-07-13,141682
2018-07-12,153385
2018-07-11,157486
2018-07-10,165568
2018-07-09,179645
2018-07-08,165653
2018-07-07,146847
2018-07-06,171456
2018-07-05,186917
2018-07-04,171980
2018-07-03,233737
2018-07-02,324579
2018-07-01,356404
2018-06-30,663417
2018-06-29,163729
2018-06-28,178634
2018-06-27,199589
2018-06-26,231176
2018-06-25,353599
2018-06-24,549667
2018-06-23,368742
2018-06-22,148265
2018-06-21,166198
2018-06-20,189982
2018-06-19,212894
2018-06-18,262034
2018-06-17,253275
2018-06-16,324332
2018-06-15,702650
2018-06-14,158046
2018-06-13,170458
2018-06-12,183719
2018-06-11,230656
2018-06-10,216046
2018-06-09,232885
2018-06-08,615943
2018-06-07,315851
2018-06-06,176204
2018-06-05,193881
2018-06-04,238184
2018-06-03,241575
2018-06-02,284975
2018-06-01,775518
2018-05-31,145642
2018-05-30,155875
2018-05-29,165628
2018-05-28,169566
2018-05-27,152813
2018-05-26,161544
2018-05-25,197970
2018-05-24,253362
2018-05-23,524842
2018-05-22,504689
2018-05-21,215569
2018-05-20,220824
2018-05-19,246696
2018-05-18,716625
2018-05-17,255798
2018-05-16,131448
2018-05-15,132497
2018-05-14,137602
2018-05-13,132679
2018-05-12,118342
2018-05-11,125269
2018-05-10,132712
2018-05-09,142034
2018-05-08,143394
2018-05-07,153181
2018-05-06,149381
2018-05-05,133801
2018-05-04,157241
2018-05-03,208088
2018-05-02,371666
2018-05-01,191850
2018-04-30,226325
2018-04-29,230235
2018-04-28,240377
2018-04-27,517186
2018-04-26,520625
2018-04-25,183006
2018-04-24,215366
2018-04-23,244478
2018-04-22,230254
2018-04-21,272546
2018-04-20,793483
2018-04-19,132926
2018-04-18,135866
2018-04-17,140904
2018-04-16,147973
2018-04-15,146325
2018-04-14,128113
2018-04-13,141096
2018-04-12,155643
2018-04-11,169698
2018-04-10,182884
2018-04-09,222972
2018-04-08,232687
2018-04-07,270285
2018-04-06,806682
2018-04-05,133868
2018-04-04,138115
2018-04-03,142818
2018-04-02,151509
2018-04-01,140293
2018-03-31,134122
2018-03-30,148552
2018-03-29,159623
2018-03-28,171235
2018-03-27,191425
2018-03-26,224800
2018-03-25,240565
2018-03-24,279093
2018-03-23,779567
2018-03-22,150646
2018-03-21,159138
2018-03-20,175512
2018-03-19,206555
2018-03-18,215554
2018-03-17,230618
2018-03-16,502963
2018-03-15,504088
2018-03-14,129952
2018-03-13,135687
2018-03-12,144031
2018-03-11,137376
2018-03-10,130203
2018-03-09,139839
2018-03-08,150352
2018-03-07,151401
2018-03-06,161177
2018-03-05,173626
2018-03-04,170124
2018-03-03,153610
2018-03-02,167812
2018-03-01,176254
2018-02-28,208755
2018-02-27,241574
2018-02-26,323582
2018-02-25,340713
2018-02-24,496925
2018-02-23,502682
2018-02-22,248141
2018-02-21,350570
2018-02-20,843936
2018-02-19,188762
2018-02-18,181975
2018-02-17,181735
2018-02-16,212099
2018-02-15,289905
2018-02-14,809485
2018-02-13,170445
2018-02-12,151121
2018-02-11,153331
2018-02-10,142772
2018-02-09,151640
2018-02-08,172261
2018-02-07,190788
2018-02-06,228732
2018-02-05,347060
2018-02-04,551744
2018-02-03,397100
2018-02-02,197486
2018-02-01,286354
2018-01-31,809730
2018-01-30,147873
2018-01-29,163584
2018-01-28,164875
2018-01-27,157482
2018-01-26,177384
2018-01-25,212547
2018-01-24,294691
2018-01-23,873126
2018-01-22,145753
2018-01-21,142907
2018-01-20,129168
2018-01-19,139994
2018-01-18,151617
2018-01-17,157591
2018-01-16,168421
2018-01-15,188989
2018-01-14,186557
2018-01-13,187703
2018-01-12,222197
2018-01-11,294865
2018-01-10,587310
2018-01-09,549892
2018-01-08,162974
2018-01-07,163263
2018-01-06,151888
2018-01-05,157371
2018-01-04,183618
2018-01-03,195955
2018-01-02,217648
2018-01-01,184579
2017-12-31,189304
2017-12-30,204721
2017-12-29,219723
2017-12-28,244357
2017-12-27,266030
2017-12-26,310805
2017-12-25,395871
2017-12-24,277695
2017-12-23,362288
2017-12-22,843717
2017-12-21,348492
2017-12-20,880894
2017-12-19,150526
2017-12-18,156216
2017-12-17,147995
2017-12-16,141356
2017-12-15,145464
2017-12-14,156964
2017-12-13,160496
2017-12-12,168334
2017-12-11,188938
2017-12-10,182948
2017-12-09,181330
2017-12-08,213999
2017-12-07,291343
2017-12-06,591100
2017-12-05,538032
2017-12-04,206454
2017-12-03,204363
2017-12-02,218947
2017-12-01,314284
2017-11-30,875023
2017-11-29,192552
2017-11-28,219387
2017-11-27,279140
2017-11-26,283788
2017-11-25,294539
2017-11-24,559056
2017-11-23,403920
2017-11-22,170560
2017-11-21,167788
2017-11-20,164862
2017-11-19,144241
2017-11-18,139754
2017-11-17,159910
2017-11-16,174617
2017-11-15,186220
2017-11-14,201228
2017-11-13,242121
2017-11-12,231876
2017-11-11,259489
2017-11-10,707243
2017-11-09,331384
2017-11-08,151128
2017-11-07,164425
2017-11-06,191022
2017-11-05,186376
2017-11-04,213575
2017-11-03,300399
2017-11-02,190908
2017-11-01,162128
2017-10-31,167410
2017-10-30,213043
2017-10-29,217618
2017-10-28,248870
2017-10-27,830251
2017-10-26,142729
2017-10-25,149868
2017-10-24,155524
2017-10-23,156882
2017-10-22,147191
2017-10-21,130657
2017-10-20,150085
2017-10-19,166848
2017-10-18,184192
2017-10-17,202207
2017-10-16,245167
2017-10-15,247757
2017-10-14,288767
2017-10-13,795077
2017-10-12,154413
2017-10-11,164670
2017-10-10,171859
2017-10-09,186901
2017-10-08,181109
2017-10-07,171286
2017-10-06,203621
2017-10-05,245817
2017-10-04,326195
2017-10-03,858087
2017-10-02,207308
2017-10-01,204402
2017-09-30,194294
2017-09-29,246761
2017-09-28,349739
2017-09-27,883086
2017-09-26,211686
2017-09-25,255314
2017-09-24,248538
2017-09-23,304563
2017-09-22,795305
2017-09-21,132786
2017-09-20,137794
2017-09-19,140773
2017-09-18,150619
2017-09-17,145722
2017-09-16,134543
2017-09-15,159801
2017-09-14,202496
2017-09-13,284777
2017-09-12,795017
2017-09-11,113638
2017-09-10,105472
2017-09-09,94752
2017-09-08,110434
2017-09-07,118472
2017-09-06,122348
2017-09-05,127741
2017-09-04,131921
2017-09-03,116757
2017-09-02,115400
2017-09-01,135174
2017-08-31,147282
2017-08-30,152729
2017-08-29,161208
2017-08-28,171805
2017-08-27,168193
2017-08-26,165313
2017-08-25,216037
2017-08-24,301889
2017-08-23,785503
2017-08-22,132105
2017-08-21,126443
2017-08-20,132715
2017-08-19,120577
2017-08-18,135537
2017-08-17,140036
2017-08-16,150084
2017-08-15,163835
2017-08-14,168902
2017-08-13,174650
2017-08-12,252947
2017-08-11,807544
2017-08-10,185302
2017-08-09,186907
2017-08-08,204319
2017-08-07,239536
2017-08-06,238814
2017-08-05,258876
2017-08-04,586272
2017-08-03,434481
2017-08-02,189076
2017-08-01,209842
2017-07-31,247432
2017-07-30,249402
2017-07-29,296609
2017-07-28,777899
2017-07-27,138982
2017-07-26,143901
2017-07-25,153505
2017-07-24,158958
2017-07-23,149339
2017-07-22,133352
2017-07-21,155571
2017-07-20,170556
2017-07-19,182439
2017-07-18,197958
2017-07-17,238141
2017-07-16,239207
2017-07-15,285463
2017-07-14,767990
2017-07-13,136073
2017-07-12,134421
2017-07-11,138637
2017-07-10,147669
2017-07-09,138591
2017-07-08,121559
2017-07-07,139464
2017-07-06,157810
2017-07-05,163944
2017-07-04,145402
2017-07-03,164251
2017-07-02,165342
2017-07-01,173585
2017-06-30,224409
2017-06-29,318420
2017-06-28,805521
2017-06-27,127816
2017-06-26,135569
2017-06-25,129641
2017-06-24,113450
2017-06-23,133170
2017-06-22,150532
2017-06-21,164295
2017-06-20,181668
2017-06-19,223507
2017-06-18,226564
2017-06-17,269402
2017-06-16,740243
2017-06-15,119784
2017-06-14,120467
2017-06-13,119855
2017-06-12,121345
2017-06-11,121186
2017-06-10,104162
2017-06-09,116768
2017-06-08,122198
2017-06-07,136236
2017-06-06,142602
2017-06-05,139650
2017-06-04,135516
2017-06-03,120018
2017-06-02,138253
2017-06-01,155460
2017-05-31,172652
2017-05-30,202787
2017-05-29,208517
2017-05-28,198118
2017-05-27,242018
2017-05-26,722021
2017-05-25,202213
2017-05-24,142787
2017-05-23,152466
2017-05-22,148046
2017-05-21,148628
2017-05-20,129348
2017-05-19,146660
2017-05-18,163401
2017-05-17,176292
2017-05-16,196952
2017-05-15,241155
2017-05-14,239389
2017-05-13,278498
2017-05-12,803574
2017-05-11,124679
2017-05-10,124765
2017-05-09,132487
2017-05-08,135278
2017-05-07,131888
2017-05-06,115198
2017-05-05,130303
2017-05-04,144215
2017-05-03,151433
2017-05-02,167541
2017-05-01,177037
2017-04-30,177419
2017-04-29,167408
2017-04-28,210853
2017-04-27,323520
2017-04-26,832300
2017-04-25,162821
2017-04-24,173749
2017-04-23,169969
2017-04-22,161380
2017-04-21,202671
2017-04-20,284093
2017-04-19,743903
2017-04-18,245220
2017-04-17,152108
2017-04-16,135602
2017-04-15,128385
2017-04-14,147456
2017-04-13,166768
2017-04-12,181995
2017-04-11,197073
2017-04-10,238137
2017-04-09,245413
2017-04-08,305636
2017-04-07,799287
2017-04-06,132015
2017-04-05,138589
2017-04-04,143114
2017-04-03,147907
2017-04-02,145124
2017-04-01,129285
2017-03-31,148754
2017-03-30,161831
2017-03-29,169686
2017-03-28,194356
2017-03-27,233779
2017-03-26,240885
2017-03-25,282632
2017-03-24,801320
2017-03-23,159529
2017-03-22,170321
2017-03-21,188905
2017-03-20,222447
2017-03-19,235654
2017-03-18,281819
2017-03-17,735183
2017-03-16,118519
2017-03-15,121922
2017-03-14,125251
2017-03-13,134703
2017-03-12,127978
2017-03-11,114012
2017-03-10,128365
2017-03-09,136283
2017-03-08,142132
2017-03-07,143512
2017-03-06,155063
2017-03-05,151627
2017-03-04,136957
2017-03-03,153238
2017-03-02,173763
2017-03-01,184634
2017-02-28,216171
2017-02-27,285741
2017-02-26,307469
2017-02-25,553036
2017-02-24,322537
2017-02-23,129639
2017-02-22,136922
2017-02-21,144544
2017-02-20,148572
2017-02-19,137637
2017-02-18,126212
2017-02-17,142955
2017-02-16,158553
2017-02-15,170083
2017-02-14,178254
2017-02-13,222725
2017-02-12,232402
2017-02-11,271849
2017-02-10,771271
2017-02-09,133960
2017-02-08,139343
2017-02-07,142131
2017-02-06,152962
2017-02-05,140634
2017-02-04,135029
2017-02-03,150019
2017-02-02,161060
2017-02-01,177839
2017-01-31,197185
2017-01-30,234924
2017-01-29,246159
2017-01-28,299042
2017-01-27,761186
2017-01-26,147665
2017-01-25,156180
2017-01-24,165750
2017-01-23,180517
2017-01-22,173530
2017-01-21,158071
2017-01-20,202278
2017-01-19,303098
2017-01-18,798363
2017-01-17,136129
2017-01-16,142204
2017-01-15,131476
2017-01-14,121721
2017-01-13,132053
2017-01-12,148787
2017-01-11,154214
2017-01-10,156098
2017-01-09,165816
2017-01-08,160566
2017-01-07,147371
2017-01-06,155857
2017-01-05,193263
2017-01-04,217354
2017-01-03,256955
2017-01-02,275302
2017-01-01,254967
2016-12-31,371821
2016-12-30,576926
2016-12-29,170057
2016-12-28,174787
2016-12-27,181692
2016-12-26,206795
2016-12-25,265465
2016-12-24,161535
2016-12-23,178278
2016-12-22,212667
2016-12-21,236124
2016-12-20,231055
2016-12-19,241082
2016-12-18,243746
2016-12-17,298063
2016-12-16,768149
2016-12-15,157762
2016-12-14,165472
2016-12-13,179841
2016-12-12,201294
2016-12-11,197839
2016-12-10,206056
2016-12-09,325131
2016-12-08,755349
2016-12-07,136679
2016-12-06,137701
2016-12-05,140087
2016-12-04,135417
2016-12-03,124915
2016-12-02,142963
2016-12-01,158427
2016-11-30,173843
2016-11-29,188418
2016-11-28,211887
2016-11-27,222153
2016-11-26,192550
2016-11-25,197237
2016-11-24,222158
2016-11-23,575039
2016-11-22,438990
2016-11-21,151803
2016-11-20,149020
2016-11-19,136300
2016-11-18,148397
2016-11-17,158485
2016-11-16,165562
2016-11-15,169648
2016-11-14,188033
2016-11-13,206364
2016-11-12,195491
2016-11-11,198322
2016-11-10,204405
2016-11-09,215539
2016-11-08,334469
2016-11-07,855859
2016-11-06,165582
2016-11-05,138053
2016-11-04,161394
2016-11-03,184767
2016-11-02,194173
2016-11-01,211959
2016-10-31,240679
2016-10-30,235350
2016-10-29,276701
2016-10-28,781473
2016-10-27,143784
2016-10-26,149085
2016-10-25,153294
2016-10-24,159476
2016-10-23,151091
2016-10-22,132502
2016-10-21,155768
2016-10-20,163279
2016-10-19,172128
2016-10-18,189708
2016-10-17,202737
2016-10-16,195669
2016-10-15,181972
2016-10-14,231740
2016-10-13,342794
2016-10-12,815803
2016-10-11,153142
2016-10-10,154470
2016-10-09,138830
2016-10-08,131577
2016-10-07,159500
2016-10-06,171362
2016-10-05,175704
2016-10-04,174515
2016-10-03,184783
2016-10-02,167387
2016-10-01,151961
2016-09-30,187010
2016-09-29,207974
2016-09-28,220151
2016-09-27,233947
2016-09-26,277353
2016-09-25,276903
2016-09-24,310924
2016-09-23,756372
2016-09-22,189842
2016-09-21,196292
2016-09-20,205866
2016-09-19,219552
2016-09-18,205477
2016-09-17,197447
2016-09-16,238680
2016-09-15,266905
2016-09-14,355989
2016-09-13,798566
2016-09-12,175988
2016-09-11,165768
2016-09-10,145097
2016-09-09,172604
2016-09-08,189874
2016-09-07,199972
2016-09-06,209574
2016-09-05,207926
2016-09-04,179485
2016-09-03,181580
2016-09-02,229094
2016-09-01,260401
2016-08-31,296869
2016-08-30,395949
2016-08-29,793634
2016-08-28,184069
2016-08-27,165303
2016-08-26,197302
2016-08-25,229403
2016-08-24,273632
2016-08-23,320714
2016-08-22,677910
2016-08-21,255909
2016-08-20,113113
2016-08-19,131088
2016-08-18,136807
2016-08-17,141955
2016-08-16,142674
2016-08-15,143462
2016-08-14,136661
2016-08-13,120447
2016-08-12,137576
2016-08-11,149079
2016-08-10,160018
2016-08-09,163660
2016-08-08,172494
2016-08-07,163320
2016-08-06,144313
2016-08-05,175440
2016-08-04,199153
2016-08-03,205672
2016-08-02,251558
2016-08-01,314971
2016-07-31,330043
2016-07-30,552381
2016-07-29,132511
2016-07-28,137305
2016-07-27,143214
2016-07-26,153536
2016-07-25,156134
2016-07-24,142559
2016-07-23,120791
2016-07-22,144085
2016-07-21,158959
2016-07-20,169165
2016-07-19,174657
2016-07-18,186293
2016-07-17,170653
2016-07-16,158848
2016-07-15,196923
2016-07-14,241140
2016-07-13,326691
2016-07-12,698706
2016-07-11,156154
2016-07-10,145627
2016-07-09,125031
2016-07-08,145059
2016-07-07,161439
2016-07-06,170867
2016-07-05,178646
2016-07-04,157042
2016-07-03,149250
2016-07-02,160028
2016-07-01,217481
2016-06-30,273135
2016-06-29,505544
2016-06-28,397082
2016-06-27,138132
2016-06-26,129263
2016-06-25,113749
2016-06-24,132562
2016-06-23,148576
2016-06-22,154372
2016-06-21,156586
2016-06-20,155226
2016-06-19,142300
2016-06-18,134533
2016-06-17,161352
2016-06-16,178178
2016-06-15,194544
2016-06-14,215604
2016-06-13,243412
2016-06-12,227956
2016-06-11,255005
2016-06-10,273677
2016-06-09,190441
2016-06-08,199357
2016-06-07,232697
2016-06-06,294191
2016-06-05,272183
2016-06-04,402217
2016-06-03,363658
2016-06-02,120056
2016-06-01,118910
2016-05-31,121467
2016-05-30,121561
2016-05-29,105460
2016-05-28,105656
2016-05-27,132811
2016-05-26,139736
2016-05-25,141325
2016-05-24,139451
2016-05-23,142834
2016-05-22,139947
2016-05-21,120337
2016-05-20,140111
2016-05-19,152720
2016-05-18,158801
2016-05-17,162333
2016-05-16,175650
2016-05-15,177053
2016-05-14,160174
2016-05-13,188043
2016-05-12,220984
2016-05-11,292490
2016-05-10,710809
2016-05-09,135589
